Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Cycle D 2025,ICLT 327 M02,The Literature of Initiation,Trimnell,05/15/2025,5:30:00 PM,8:10:00 PM,"26 W. 61st St., Rm. 401",New York City
Cycle D 2025,PHTH 790 W01,Research in PT III: Capstone,Handrakis,05/14/2025,8:15:00 AM,10:15:00 AM,"Ferentinos Health Sci, Rm. 229",Long Island
Cycle D 2025,PHTH 790 W02,Research in PT III: Capstone,Gugliotti,05/14/2025,8:15:00 AM,10:15:00 AM,"Ferentinos Health Sci, Rm. 229",Long Island
Cycle D 2025,PHTH 790 W03,Research in PT III: Capstone,Ingenito,05/14/2025,8:15:00 AM,10:15:00 AM,"Ferentinos Health Sci, Rm. 229",Long Island
Cycle D 2025,PHTH 875 W01,Applied Cases in PT Practice,Ingenito,05/15/2025,8:15:00 AM,10:15:00 AM,"Ferentinos Health Sci, Rm. 229",Long Island
Cycle D 2025,PHTH 875 W02,Applied Cases in PT Practice,Hall,05/15/2025,8:15:00 AM,10:15:00 AM,"Ferentinos Health Sci, Rm. 229",Long Island
Cycle D 2025,PHYS 136 W01,Phys Modern Arch,Yu,05/15/2025,5:45:00 PM,9:45:00 PM,TBA,Long Island
Cycle D 2025,PHYS 226 M01,Intro to Modern Physics Lab,Yu,05/16/2025,5:15:00 PM,6:54:00 PM,"16 W. 61st St., Rm. 812",New York City
Cycle D 2025,PHYS 226 W01,Intro to Modern Physics Lab,Yu,05/16/2025,5:15:00 PM,6:54:00 PM,"Harry J. Schure Hall, Rm. B17A",Long Island
Cycle D 2025,QANT 630 E25,Operations & Supply Chain Mgmt,Charbaji,05/15/2025,12:45:00 PM,2:45:00 PM,"26 W. 61st St., Rm. 504",New York City
Spring 2025,AAID 101 M01,Design Fundamentals I,Davila,05/16/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,AAID 101 W01,Design Fundamentals I,Reid,05/16/2025,8:15:00 AM,10:15:00 AM,"Midge Karr, Rm. 103",Long Island
Spring 2025,AAID 102 M01,Design Fundamentals II,Balza Gerardino,05/16/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,AAID 102 M02,Design Fundamentals II,Messana,05/16/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,AAID 102 M03,Design Fundamentals II,Baxter,05/16/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,AAID 102 M04,Design Fundamentals II,Melitonov,05/16/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,AAID 102 M05,Design Fundamentals II,Ah Siong,05/16/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,AAID 102 M08,Design Fundamentals II,Dinatale Scotto,05/16/2025,3:00:00 PM,5:00:00 PM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,AAID 102 M09,Design Fundamentals II,Ahn,05/16/2025,3:00:00 PM,5:00:00 PM,"Guiliano Global Ctr., Rm. 502",New York City
Spring 2025,AAID 102 W01,Design Fundamentals II,Laho,05/16/2025,8:15:00 AM,10:15:00 AM,"Education Hall, Rm. 231",Long Island
Spring 2025,AAID 102 W02,Design Fundamentals II,Cody,05/16/2025,8:15:00 AM,10:15:00 AM,"Education Hall, Rm. 213",Long Island
Spring 2025,AAID 102 W03,Design Fundamentals II,Gonzalez Millan,05/16/2025,8:15:00 AM,10:15:00 AM,"Education Hall, Rm. 133",Long Island
Spring 2025,AAID 102 W04,Design Fundamentals II,Callender,05/16/2025,8:15:00 AM,10:15:00 AM,"Education Hall, Rm. 231",Long Island
Spring 2025,AAID 102 W05,Design Fundamentals II,Hudes,05/16/2025,8:15:00 AM,10:15:00 AM,"Education Hall, Rm. 213",Long Island
Spring 2025,AAID 140 M01,Visualization I,Acosta Perez,05/16/2025,3:00:00 PM,5:00:00 PM,"Guiliano Global Ctr., Rm. 501",New York City
Spring 2025,AAID 140 W01,Visualization I,Nizan,05/13/2025,8:15:00 AM,10:15:00 AM,Zoom,Long Island
Spring 2025,AAID 240 M01,Visualization II,Olivieri,05/14/2025,8:15:00 AM,10:15:00 AM,"16 W. 61st St., Rm. 919",New York City
Spring 2025,AAID 240 M02,Visualization II,Satish,05/14/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 1013",New York City
Spring 2025,AAID 240 M03,Visualization II,Saad,05/14/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 319",New York City
Spring 2025,AAID 240 M05,Visualization II,Melitonov,05/14/2025,8:15:00 AM,10:15:00 AM,"26 W. 61st St., Rm. 410",New York City
Spring 2025,AAID 240 M09,Visualization II,Balza Gerardino,05/14/2025,3:00:00 PM,5:00:00 PM,"Guiliano Global Ctr., Rm. 319",New York City
Spring 2025,AAID 240 W01,Visualization II,Reid,05/15/2025,12:45:00 PM,2:45:00 PM,"Education Hall, Rm. 140",Long Island
Spring 2025,AAID 240 W02,Visualization II,Callender,05/15/2025,12:45:00 PM,2:45:00 PM,"Education Hall, Rm. 231",Long Island
Spring 2025,AAID 240 W03,Visualization II,Zeit,05/15/2025,12:45:00 PM,2:45:00 PM,"Education Hall, Rm. 213",Long Island
Spring 2025,ACCT 101 M01,Accounting I,Chan,05/14/2025,10:30:00 AM,12:30:00 PM,"26 W. 61st St., Rm. 11",New York City
Spring 2025,ACCT 102 M01,Accounting II,Ozelli,05/14/2025,10:30:00 AM,12:30:00 PM,"Guiliano Global Ctr., Rm. 401",New York City
Spring 2025,ACCT 102 W01,Accounting II,Holzer,05/14/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 102",Long Island
Spring 2025,ACCT 110 M01,Managerial Accounting,Chan,05/12/2025,8:15:00 AM,10:15:00 AM,"26 W. 61st St., Rm. 504",New York City
Spring 2025,ACCT 110 W01,Managerial Accounting,Yun,05/12/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. 236",Long Island
Spring 2025,ACCT 315 M01,Financial Statement Analysis,Yun,05/12/2025,12:45:00 PM,2:45:00 PM,Zoom,New York City
Spring 2025,ACCT 315 W01,Financial Statement Analysis,Yun,05/12/2025,12:45:00 PM,2:45:00 PM,Zoom,Long Island
Spring 2025,ACCT 501 M01,Accounting I,Akazi,05/15/2025,8:30:00 PM,9:50:00 PM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,ACCT 601 M01,Managerial Accounting,Yun,05/13/2025,5:45:00 PM,8:24:00 PM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,ACCT 601 M02,Managerial Accounting,Akazi,05/15/2025,5:45:00 PM,8:15:00 PM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,ACCT 601 M03,Managerial Accounting,Ozelli,05/14/2025,3:00:00 PM,5:00:00 PM,"26 W. 61st St., Rm. 313",New York City
Spring 2025,ACCT 713 M01,Financial Statement Analysis,Agrawal,05/16/2025,5:45:00 PM,8:24:00 PM,Zoom,New York City
Spring 2025,AENG 420 W01,High Speed Flows & Shock Waves,Ioppolo,05/12/2025,3:00:00 PM,5:00:00 PM,"Anna Rubin Hall, Rm. 309",Long Island
Spring 2025,AENG 463 W01,Propulsion,Boldini,05/12/2025,5:45:00 PM,8:24:00 PM,"Anna Rubin Hall, Rm. 307",Long Island
Spring 2025,ARCH 161 M01,Global Hist of Architecture I,Veenendaal,05/13/2025,8:15:00 AM,10:15:00 AM,"26 W. 61st St., Rm. 408",New York City
Spring 2025,ARCH 161 M02,Global Hist of Architecture I,Melitonov,05/13/2025,8:15:00 AM,10:15:00 AM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,ARCH 161 M03,Global Hist of Architecture I,Forlini,05/13/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 409",New York City
Spring 2025,ARCH 161 M04,Global Hist of Architecture I,Veenendaal,05/15/2025,12:45:00 PM,2:45:00 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,ARCH 161 W01,Global Hist of Architecture I,Jung,05/13/2025,8:15:00 AM,10:15:00 AM,"Midge Karr, Rm. B11",Long Island
Spring 2025,ARCH 161 W02,Global Hist of Architecture I,Jung,05/15/2025,12:45:00 PM,2:45:00 PM,"Education Hall, Rm. 136",Long Island
